0.43	694.8	5
0.43	698.4	5
0.43	705.6	5
0.43	709.2	5
0.43	716.4	5
0.43	723.6	5
0.43	727.2	5
0.44	734.4	5
0.44	738	5
0.44	745.2	5
0.44	748.8	5
0.44	756	5
0.44	759.6	5
0.45	766.8	5
0.45	774	5
0.45	777.6	5
0.45	784.8	5
0.45	788.4	5
0.45	795.6	5
0.45	799.2	5
0.46	806.4	5
0.46	813.6	5
0.46	817.2	5
0.46	824.4	5
0.46	828	5
0.46	835.2	5
0.47	842.4	5
0.47	846	5
0.47	853.2	5
0.47	860.4	5
0.47	864	5
0.47	871.2	5
0.47	878.4	5
0.48	882	5
0.48	889.2	5
0.48	896.4	5
0.48	900	5
0.48	907.2	5
0.48	914.4	5
0.48	918	5
0.49	925.2	5
0.49	932.4	5
0.49	939.6	5
0.49	943.2	5
0.49	950.4	5
0.49	957.6	5
0.5	961.2	5
0.5	968.4	5
0.5	975.6	5
0.5	979.2	5
0.5	986.4	5
0.5	993.6	5
0.5	1000.8	5
0.51	1008	5
0.51	1011.6	5
0.51	1018.8	5
0.51	1026	5
0.51	1033.2	5
0.51	1040.4	5
0.52	1044	5
0.52	1051.2	5
0.52	1058.4	5
0.52	1065.6	5
0.52	1072.8	5
0.52	1080	5
0.53	1083.6	5
0.53	1090.8	5
0.53	1098	5
0.53	1105.2	5
0.53	1112.4	5
0.53	1119.6	5
0.54	1123.2	5
0.54	1130.4	5
0.54	1137.6	5
0.54	1144.8	5
0.54	1152	5
0.54	1159.2	5
0.54	1166.4	5
0.55	1173.6	5
0.55	1180.8	5
0.55	1188	5
0.55	1195.2	5
0.55	1202.4	5
0.55	1209.6	5
0.56	1216.8	5
0.56	1220.4	5
0.56	1227.6	5
0.56	1234.8	5
0.56	1242	5
0.56	1249.2	5
0.57	1256.4	5
0.57	1263.6	5
0.57	1270.8	5
0.57	1278	5
0.57	1285.2	5
0.57	1292.4	5
0.57	1299.6	5
0.58	1306.8	5
0.58	1314	5
0.58	1321.2	5
0.58	1328.4	5
0.58	1335.6	5
0.58	1342.8	5
0.59	1350	5
0.59	1357.2	5
0.59	1364.4	5
0.59	1371.6	5
0.59	1378.8	5
0.59	1386	5
0.6	1393.2	5
0.6	1400.4	5
0.6	1407.6	5
0.6	1414.8	5
0.6	1422	5
0.6	1429.2	5
0.61	1436.4	5
0.61	1443.6	5
0.61	1450.8	5
0.61	1458	5
0.61	1465.2	5
0.61	1472.4	5
0.61	1479.6	5
0.62	1486.8	5
0.62	1494	5
0.62	1501.2	5
0.62	1508.4	5
0.62	1515.6	5
0.62	1522.8	5
0.63	1530	5
0.63	1537.2	5
0.63	1544.4	5
0.63	1551.6	5
0.63	1558.8	5
0.63	1566	5
0.64	1573.2	5
0.64	1580.4	5
0.64	1591.2	5
0.64	1598.4	5
0.64	1605.6	5
0.64	1612.8	5
0.64	1620	5
0.65	1627.2	5
0.65	1634.4	5
0.65	1641.6	5
0.65	1648.8	5
0.65	1656	5
0.65	1663.2	5
0.66	1670.4	5
0.66	1681.2	5
0.66	1688.4	5
0.66	1695.6	5
0.66	1702.8	5
0.66	1710	5
0.67	1717.2	5
0.67	1724.4	5
0.67	1731.6	5
0.67	1742.4	5
0.67	1749.6	5
0.67	1756.8	5
0.68	1764	5
0.68	1771.2	5
0.68	1778.4	5
0.68	1785.6	5
0.68	1792.8	5
0.68	1803.6	5
0.68	1810.8	5
0.69	1818	5
0.69	1825.2	5
0.69	1832.4	5
0.69	1839.6	5
0.69	1850.4	5
0.69	1857.6	5
0.7	1864.8	5
0.7	1872	5
0.7	1879.2	5
0.7	1890	5
0.7	1897.2	5
0.7	1904.4	5
0.71	1911.6	5
0.71	1922.4	5
0.71	1929.6	5
0.71	1936.8	5
0.71	1944	5
0.71	1951.2	5
0.72	1962	5
0.72	1969.2	5
0.72	1976.4	5
0.72	1983.6	5
0.72	1994.4	5
0.72	2001.6	5
0.72	2008.8	5
0.73	2016	5
0.73	2026.8	5
0.73	2034	5
0.73	2041.2	5
0.73	2048.4	5
0.73	2059.2	5
0.74	2066.4	5
0.74	2073.6	5
0.74	2080.8	5
0.74	2091.6	5
0.74	2098.8	5
0.74	2106	5
0.75	2113.2	5
0.75	2120.4	5
0.75	2131.2	5
0.75	2138.4	5
0.75	2145.6	5
0.75	2152.8	5
0.76	2163.6	5
0.76	2170.8	5
0.76	2178	5
0.76	2185.2	5
0.76	2196	5
0.76	2203.2	5
0.76	2210.4	5
0.77	2217.6	5
0.77	2228.4	5
0.77	2235.6	5
0.77	2242.8	5
0.77	2250	5
0.77	2260.8	5
0.78	2268	5
0.78	2275.2	5
0.78	2282.4	5
0.78	2293.2	5
0.78	2300.4	5
0.78	2307.6	5
0.79	2318.4	5
0.79	2325.6	5
0.79	2332.8	5
0.79	2340	5
0.79	2350.8	5
0.79	2358	5
0.79	2365.2	5
0.8	2376	5
0.8	2383.2	5
0.8	2390.4	5
0.8	2401.2	5
0.8	2408.4	5
0.8	2415.6	5
0.81	2422.8	5
0.81	2433.6	5
0.81	2440.8	5
0.81	2448	5
0.81	2458.8	5
0.81	2466	5
0.82	2473.2	5
0.82	2484	5
0.82	2491.2	5
0.82	2498.4	5
0.82	2509.2	5
0.82	2516.4	5
0.83	2523.6	5
0.83	2534.4	5
0.83	2541.6	5
0.83	2548.8	5
0.83	2559.6	5
0.83	2566.8	5
0.83	2574	5
0.84	2584.8	5
0.84	2592	5
0.84	2602.8	5
0.84	2610	5
0.84	2617.2	5
0.84	2628	5
0.85	2635.2	5
0.85	2642.4	5
0.85	2653.2	5
0.85	2660.4	5
0.85	2671.2	5
0.85	2678.4	5
0.86	2689.2	5
0.86	2696.4	5
0.86	2703.6	5
0.86	2714.4	5
0.86	2721.6	5
0.86	2732.4	5
0.87	2739.6	5
0.87	2746.8	5
0.87	2757.6	5
0.87	2764.8	5
0.87	2775.6	5
0.87	2782.8	5
0.88	2790	5
0.88	2800.8	5
0.88	2808	5
0.88	2818.8	5
0.88	2826	5
0.88	2833.2	5
0.89	2844	5
0.89	2851.2	5
0.89	2862	5
0.89	2869.2	5
0.89	2876.4	5
0.89	2887.2	5
0.89	2894.4	5
0.9	2905.2	5
0.9	2912.4	5
0.9	2919.6	5
0.9	2930.4	5
0.9	2937.6	5
0.9	2948.4	5
0.91	2955.6	5
0.91	2962.8	5
0.91	2973.6	5
0.91	2980.8	5
0.91	2988	5
0.91	2998.8	5
0.92	3006	5
0.92	3016.8	5
0.92	3024	5
0.92	3034.8	5
0.92	3042	5
0.92	3052.8	5
0.93	3060	5
0.93	3067.2	5
0.93	3078	5
0.93	3085.2	5
0.93	3096	5
0.93	3103.2	5
0.94	3114	5
0.94	3121.2	5
0.94	3128.4	5
0.94	3139.2	5
0.94	3146.4	5
0.94	3157.2	5
0.94	3164.4	5
0.95	3175.2	5
0.95	3182.4	5
0.95	3189.6	5
0.95	3200.4	5
0.95	3207.6	5
0.95	3218.4	5
0.96	3225.6	5
0.96	3236.4	5
0.96	3243.6	5
0.96	3254.4	5
0.96	3261.6	5
0.96	3272.4	5
0.97	3279.6	5
0.97	3286.8	5
0.97	3297.6	5
0.97	3304.8	5
0.97	3315.6	5
0.97	3322.8	5
0.98	3333.6	5
0.98	3340.8	5
0.98	3351.6	5
0.98	3358.8	5
0.98	3369.6	5
0.98	3376.8	5
0.99	3387.6	5
0.99	3394.8	5
0.99	3405.6	5
0.99	3412.8	5
0.99	3423.6	5
0.99	3430.8	5
0.99	3441.6	5
1	3448.8	5
1	3459.6	5
1	3466.8	5
1	3477.6	5
1	3484.8	5
1	3495.6	5
1.01	3502.8	5
1.01	3513.6	5
1.01	3520.8	5
1.01	3531.6	5
1.01	3538.8	5
1.01	3549.6	5
1.02	3556.8	5
1.02	3564	5
1.02	3574.8	5
1.02	3582	5
1.02	3592.8	5
1.02	3600	5
1.03	3610.8	5
1.03	3618	5
1.03	3628.8	5
1.03	3636	5
1.03	3646.8	5
1.03	3654	5
1.04	3664.8	5
1.04	3672	5
1.04	3682.8	5
1.04	3690	5
1.04	3700.8	5
1.04	3708	5
1.04	3718.8	5
1.05	3726	5
1.05	3736.8	5
1.05	3744	5
1.05	3754.8	5
1.05	3762	5
1.05	3772.8	5
1.06	3780	5
1.06	3790.8	5
1.06	3798	5
1.06	3808.8	5
1.06	3816	5
1.06	3826.8	5
1.07	3834	5
1.07	3844.8	5
1.07	3852	5
1.07	3862.8	5
1.07	3870	5
1.07	3880.8	5
1.08	3888	5
1.08	3898.8	5
1.08	3906	5
1.08	3916.8	5
1.08	3924	5
1.08	3934.8	5
1.09	3942	5
1.09	3952.8	5
1.09	3960	5
1.09	3970.8	5
1.09	3978	5
1.09	3988.8	5
1.09	3996	5
1.1	4006.8	5
1.1	4014	5
1.1	4024.8	5
1.1	4035.6	5
1.1	4042.8	5
1.1	4053.6	5
1.11	4060.8	5
1.11	4071.6	5
1.11	4078.8	5
1.11	4089.6	5
1.11	4096.8	5
1.11	4107.6	5
1.12	4118.4	5
1.12	4125.6	5
1.12	4136.4	5
1.12	4143.6	5
1.12	4154.4	5
1.12	4161.6	5
1.13	4172.4	5
1.13	4179.6	5
1.13	4190.4	5
1.13	4201.2	5
1.13	4208.4	5
1.13	4219.2	5
1.14	4226.4	5
1.14	4237.2	5
1.14	4244.4	5
1.14	4255.2	5
1.14	4262.4	5
1.14	4273.2	5
1.15	4280.4	5
1.15	4291.2	5
