-0.005	-1.8
-0.004996	-1.6
-0.004992	-1.6
-0.004988	-1.6
-0.004984	-1.6
-0.00498	-1.6
-0.004976	-1.4
-0.004972	-1.6
-0.004968	-1.6
-0.004964	-1.4
-0.00496	-1.6
-0.004956	-1.2
-0.004952	-1.2
-0.004948	-1
-0.004944	-0.8
-0.00494	-0.6
-0.004936	0.6
-0.004932	0.6
-0.004928	1
-0.004924	1
-0.00492	1.2
-0.004916	1.4
-0.004912	1.4
-0.004908	1.6
-0.004904	1.6
-0.0049	1.4
-0.004896	1.4
-0.004892	1.6
-0.004888	1.6
-0.004884	1.8
-0.00488	1.6
-0.004876	1.4
-0.004872	1.4
-0.004868	1.4
-0.004864	1.6
-0.00486	1.4
-0.004856	1.6
-0.004852	1.6
-0.004848	1.6
-0.004844	1.6
-0.00484	1.4
-0.004836	1.6
-0.004832	1.6
-0.004828	1.4
-0.004824	1.4
-0.00482	1.6
-0.004816	1.4
-0.004812	1.6
-0.004808	1.6
-0.004804	1.4
-0.0048	1.6
-0.004796	1.4
-0.004792	1.4
-0.004788	1.6
-0.004784	1.6
-0.00478	1.6
-0.004776	1.6
-0.004772	1.4
-0.004768	1.6
-0.004764	1.8
-0.00476	1.6
-0.004756	1.8
-0.004752	1.4
-0.004748	1.6
-0.004744	1.4
-0.00474	1.6
-0.004736	1.8
-0.004732	1.8
-0.004728	1.8
-0.004724	1.4
-0.00472	1.8
-0.004716	1.8
-0.004712	1.8
-0.004708	1.8
-0.004704	1.6
-0.0047	1.8
-0.004696	1.8
-0.004692	1.8
-0.004688	1.8
-0.004684	1.6
-0.00468	1.6
-0.004676	1.8
-0.004672	1.6
-0.004668	1.6
-0.004664	1.6
-0.00466	1.6
-0.004656	1.8
-0.004652	1.8
-0.004648	1.8
-0.004644	1.8
-0.00464	1.8
-0.004636	1.6
-0.004632	1.8
-0.004628	2
-0.004624	1.8
-0.00462	2
-0.004616	1.8
-0.004612	1.8
-0.004608	1.8
-0.004604	1.8
-0.0046	1.6
-0.004596	1.8
-0.004592	2
-0.004588	1.8
-0.004584	1.6
-0.00458	1.8
-0.004576	2
-0.004572	1.8
-0.004568	1.8
-0.004564	1.8
-0.00456	1.8
-0.004556	1.8
-0.004552	1.8
-0.004548	1.8
-0.004544	1.8
-0.00454	1.8
-0.004536	1.8
-0.004532	1.8
-0.004528	1.6
-0.004524	1.6
